Rank This Week,Rank Last Week,Name,Rounds,AVG,Total Strokes,Total Adjustment,Total Rounds
1,1,Justin Thomas,43,69.512,"2,752",28.462,40
2,2,Dustin Johnson,35,69.536,"2,221",4.166,32
3,4,Jim Furyk,35,69.664,"2,223",6.253,32
4,14,Tiger Woods,25,69.729,"1,389",5.575,20
5,3,Rory McIlroy,36,69.767,"2,225",7.555,32
6,7,Patrick Cantlay,35,69.806,"2,216",17.799,32
7,6,Lucas Glover,44,69.813,"3,046",25.768,44
8,13,Xander Schauffele,41,69.82,"2,629",24.178,38
9,12,Rickie Fowler,40,69.871,"2,774",20.85,40
10,11,Matt Kuchar,51,69.91,"3,039",37.039,44
11,15,Jon Rahm,43,69.911,"2,779",17.434,40
12,17,Webb Simpson,37,69.986,"2,358",21.54,34
13,9,Gary Woodland,52,69.99,"3,387",42.486,49
14,19,Jason Day,33,70.021,"2,087",13.635,30
15,5,Sergio Garcia,27,70.057,"1,548",-6.751,22
16,20,Tony Finau,45,70.065,"2,922",20.743,42
17,8,Tommy Fleetwood,31,70.114,"1,965",-1.797,28
18,16,Hideki Matsuyama,43,70.139,"2,795",10.563,40
19,23,Talor Gooch,27,70.17,"1,876",18.586,27
20,10,Justin Rose,26,70.196,"1,536",8.303,22
21,21,Adam Scott,31,70.209,"2,172",4.481,31
22,18,Bryson DeChambeau,35,70.235,"2,226",21.518,32
23,22,Charles Howell III,53,70.251,"3,460",52.537,50
24,25,Sungjae Im,63,70.256,"4,380",46.115,63
25,27,Michael Thompson,38,70.306,"2,657",14.625,38
26,32,Brooks Koepka,33,70.307,"2,103",6.201,30
27,28,Phil Mickelson,33,70.397,"2,096",15.9,30
28,29,Si Woo Kim,53,70.425,"3,471",50.261,50
29,34,Jason Kokrak,48,70.49,"3,351",32.523,48
30,30,Kevin Kisner,49,70.5,"2,933",27.988,42
31,26,Marc Leishman,42,70.503,"2,648",31.126,38
32,24,Paul Casey,42,70.554,"2,664",17.051,38
33,35,D.J. Trahan,25,70.563,"1,737",27.065,25
34,36,Byeong Hun An,39,70.57,"2,528",12.536,36
35,37,Wyndham Clark,47,70.59,"3,284",33.747,47
36,31,Rafa Cabrera Bello,41,70.601,"2,678",4.843,38
37,40,Ian Poulter,35,70.616,"2,245",14.711,32
38,38,Graeme McDowell,41,70.623,"2,871",24.539,41
39,41,Bubba Watson,37,70.624,"2,392",9.223,34
40,33,Cameron Smith,45,70.688,"2,949",19.885,42
41,42,Jhonattan Vegas,46,70.691,"3,216",35.793,46
42,43,Ryan Palmer,34,70.703,"2,373",30.91,34
43,44,Aaron Baddeley,41,70.731,"2,874",25.951,41
44,47,Russell Knox,45,70.77,"2,957",15.349,42
